Type,Results
Linear,"[np.float64(-3.524125302242541), np.float64(-3.5254996442682387), np.float64(-3.527554346285403), np.float64(-3.5308797034751915), np.float64(-3.53303177391059), np.float64(-3.5442189173376644), np.float64(-3.554889533440045), np.float64(-3.559902689232985), np.float64(-3.580906854032156), np.float64(-3.59823861053443), np.float64(-3.6204050820218034), np.float64(-3.629427539451842), np.float64(-3.663708047418984), np.float64(-3.668134329033771), np.float64(-3.6844341605186486)]"
Linear,"[np.float64(-3.5241253028606616), np.float64(-3.5252647833965796), np.float64(-3.52666377270198), np.float64(-3.5299619225931833), np.float64(-3.532081336016286), np.float64(-3.5428361951295857), np.float64(-3.556709252671953), np.float64(-3.566345908313016), np.float64(-3.5808903386261752), np.float64(-3.5944958465595027), np.float64(-3.600965033797322), np.float64(-3.622494804630427), np.float64(-3.655527840052768), np.float64(-3.6661643033049103), np.float64(-3.6844341380951047)]"
Linear,"[np.float64(-3.5241253028876622), np.float64(-3.524779650594604), np.float64(-3.5281854784022904), np.float64(-3.53079355793667), np.float64(-3.5373748014337876), np.float64(-3.5428299140002055), np.float64(-3.5476048836666), np.float64(-3.5719168452597927), np.float64(-3.5823786935974486), np.float64(-3.5984099477960703), np.float64(-3.6160046035805937), np.float64(-3.638167160098742), np.float64(-3.650165815889319), np.float64(-3.6675424977596043), np.float64(-3.68443418300859)]"
Linear,"[np.float64(-3.5241253029111403), np.float64(-3.5261374657013245), np.float64(-3.527234647961341), np.float64(-3.529154612345535), np.float64(-3.5307222265784874), np.float64(-3.5381272919887268), np.float64(-3.549403360875501), np.float64(-3.559403532364606), np.float64(-3.5769544183604043), np.float64(-3.5938344071587793), np.float64(-3.616389432422498), np.float64(-3.6351797469092064), np.float64(-3.652072440151528), np.float64(-3.667930014207263), np.float64(-3.6844341508953793)]"
Linear,"[np.float64(-3.5241253026941353), np.float64(-3.5261670474655684), np.float64(-3.5253098237131115), np.float64(-3.528143527535195), np.float64(-3.5358889482373135), np.float64(-3.541462292813077), np.float64(-3.5554105316754647), np.float64(-3.56841636104097), np.float64(-3.5707314588622046), np.float64(-3.6051924511970155), np.float64(-3.62185908033177), np.float64(-3.6273234368464475), np.float64(-3.6451078725574475), np.float64(-3.6674140038950043), np.float64(-3.684434214252673)]"
Linear,"[np.float64(-3.524125303015302), np.float64(-3.524529247348566), np.float64(-3.5262629468814324), np.float64(-3.5276598356731306), np.float64(-3.532213348263616), np.float64(-3.5448493809192505), np.float64(-3.556214277280116), np.float64(-3.5634995859580476), np.float64(-3.577543219487483), np.float64(-3.5943503126288943), np.float64(-3.6149772430678984), np.float64(-3.624468505227875), np.float64(-3.6466000094920155), np.float64(-3.6702925975650835), np.float64(-3.6844342058684036)]"
Linear,"[np.float64(-3.524125302696197), np.float64(-3.526278788007268), np.float64(-3.5260732400661947), np.float64(-3.529327389080633), np.float64(-3.534942710346219), np.float64(-3.5469235707406703), np.float64(-3.5541038249283847), np.float64(-3.562410229130087), np.float64(-3.5756408016363657), np.float64(-3.5997106236481695), np.float64(-3.6220613463785756), np.float64(-3.62944778648109), np.float64(-3.6535156213458633), np.float64(-3.6741530319158526), np.float64(-3.6844341286958198)]"
Linear,"[np.float64(-3.5241253028777813), np.float64(-3.525429784035821), np.float64(-3.5271919694571645), np.float64(-3.53182990471645), np.float64(-3.532324008253511), np.float64(-3.5422317617911103), np.float64(-3.557110360390559), np.float64(-3.567886291256481), np.float64(-3.58358176695183), np.float64(-3.602358916850913), np.float64(-3.612606722105936), np.float64(-3.6308476901158127), np.float64(-3.649882960330063), np.float64(-3.664312913904297), np.float64(-3.684434138717325)]"
Linear,"[np.float64(-3.5241253033081485), np.float64(-3.523243827994761), np.float64(-3.526022400416724), np.float64(-3.5307610412314516), np.float64(-3.5396866060506964), np.float64(-3.5403214019550324), np.float64(-3.5537389339295347), np.float64(-3.575688098955605), np.float64(-3.571487800181262), np.float64(-3.5904001461716364), np.float64(-3.6113103947753094), np.float64(-3.624445988787663), np.float64(-3.6536440239392647), np.float64(-3.6720882467532974), np.float64(-3.6844342100131433)]"
Linear,"[np.float64(-3.5241253026991317), np.float64(-3.525179621442105), np.float64(-3.5260563710316593), np.float64(-3.532130458555823), np.float64(-3.532170047200862), np.float64(-3.541154465118625), np.float64(-3.554832517147482), np.float64(-3.5592158195788057), np.float64(-3.5828705556575944), np.float64(-3.600581501261032), np.float64(-3.6158988518462487), np.float64(-3.6345898657987377), np.float64(-3.6548930514712037), np.float64(-3.674465907627278), np.float64(-3.684434128404824)]"
Linear,"[np.float64(-3.5241253028876622), np.float64(-3.5258574093415893), np.float64(-3.5268240173638716), np.float64(-3.5300814206286164), np.float64(-3.5344636735956088), np.float64(-3.545856499643205), np.float64(-3.553702458337507), np.float64(-3.559507313467024), np.float64(-3.5816834392483297), np.float64(-3.6020754515258604), np.float64(-3.6089157185819203), np.float64(-3.626781608635233), np.float64(-3.6506387165014558), np.float64(-3.6614864714698006), np.float64(-3.6844341425143776)]"
Linear,"[np.float64(-3.5241253030827675), np.float64(-3.52325568510079), np.float64(-3.526553355157779), np.float64(-3.528281988246715), np.float64(-3.5339400544053614), np.float64(-3.544197941057335), np.float64(-3.5486682265466527), np.float64(-3.566890654894652), np.float64(-3.583258163539664), np.float64(-3.5864501415075627), np.float64(-3.6143204078251867), np.float64(-3.6277096206878436), np.float64(-3.6447097992617374), np.float64(-3.6669218303086533), np.float64(-3.684434219575923)]"
Linear,"[np.float64(-3.524125303400359), np.float64(-3.5252194651230297), np.float64(-3.5275952533696757), np.float64(-3.5280043528502367), np.float64(-3.531623891513926), np.float64(-3.5453517746486964), np.float64(-3.5528885531796837), np.float64(-3.5646276542133863), np.float64(-3.5846006056600537), np.float64(-3.5931927747121017), np.float64(-3.6166000792849253), np.float64(-3.624916353231305), np.float64(-3.650018615817732), np.float64(-3.6698927478553687), np.float64(-3.684434120935025)]"
Linear,"[np.float64(-3.524125303059559), np.float64(-3.524709321692119), np.float64(-3.5259645150350254), np.float64(-3.535188517342592), np.float64(-3.5370218970476484), np.float64(-3.5429177054445784), np.float64(-3.5487782758674262), np.float64(-3.5697599617180837), np.float64(-3.5775711213138277), np.float64(-3.5907667396917464), np.float64(-3.6119483030846813), np.float64(-3.6287076982657176), np.float64(-3.6607756173092083), np.float64(-3.6657368436729176), np.float64(-3.684434175820284)]"
Linear,"[np.float64(-3.5241253033222706), np.float64(-3.524326099030104), np.float64(-3.526768423249543), np.float64(-3.529298190242704), np.float64(-3.536672035902381), np.float64(-3.541089153425266), np.float64(-3.5513170367059095), np.float64(-3.5635113815242594), np.float64(-3.575353882545307), np.float64(-3.5933110826236776), np.float64(-3.610856761955411), np.float64(-3.6325665759962), np.float64(-3.6443881075152387), np.float64(-3.6705269612654083), np.float64(-3.684434215115017)]"
Linear,"[np.float64(-3.5241253025557278), np.float64(-3.524513863163362), np.float64(-3.529067450516264), np.float64(-3.530704412293724), np.float64(-3.5372691953597224), np.float64(-3.5431594778756796), np.float64(-3.5515026985875915), np.float64(-3.565514662719177), np.float64(-3.582650279046579), np.float64(-3.586925805767271), np.float64(-3.612677914251473), np.float64(-3.6348631697758575), np.float64(-3.6461513072734273), np.float64(-3.659368334885147), np.float64(-3.684434183689996)]"
Linear,"[np.float64(-3.524125303100828), np.float64(-3.5254950338913797), np.float64(-3.5266524211981634), np.float64(-3.527315269354189), np.float64(-3.5351840752450117), np.float64(-3.540767485194276), np.float64(-3.5464756623138465), np.float64(-3.5633602268044466), np.float64(-3.579604406449735), np.float64(-3.5891664275976742), np.float64(-3.605040668129441), np.float64(-3.627747025182613), np.float64(-3.6499092401881805), np.float64(-3.6627553994163025), np.float64(-3.6844341692122864)]"
Linear,"[np.float64(-3.5241253027450044), np.float64(-3.5255346760028305), np.float64(-3.5282623690948878), np.float64(-3.530472393699636), np.float64(-3.533345562504422), np.float64(-3.5444554880661974), np.float64(-3.556054975238502), np.float64(-3.5682463576329555), np.float64(-3.577505640343955), np.float64(-3.594533190942496), np.float64(-3.6137792536830746), np.float64(-3.6442177110246727), np.float64(-3.6413538368213563), np.float64(-3.6665958507496885), np.float64(-3.6844341196586496)]"
Linear,"[np.float64(-3.5241253031677724), np.float64(-3.5256905196358206), np.float64(-3.5284026700598647), np.float64(-3.5300197274514282), np.float64(-3.534856011174872), np.float64(-3.538108460556105), np.float64(-3.550664169361842), np.float64(-3.565655154556735), np.float64(-3.5825982048155693), np.float64(-3.5901447320666704), np.float64(-3.6097058152902903), np.float64(-3.6228992255513486), np.float64(-3.6473337717999037), np.float64(-3.672842222966601), np.float64(-3.6844341050885374)]"
Linear,"[np.float64(-3.5241253029637116), np.float64(-3.5259085391699996), np.float64(-3.527240266622918), np.float64(-3.5324379707004425), np.float64(-3.5351400552786068), np.float64(-3.5382199935983167), np.float64(-3.551151137474826), np.float64(-3.5681557027254724), np.float64(-3.576752356110823), np.float64(-3.589502284013449), np.float64(-3.616579236529962), np.float64(-3.633302478861304), np.float64(-3.645493386645894), np.float64(-3.663364429299466), np.float64(-3.684434176418664)]"
Nonlinear,"[np.float64(-3.5194435693678656), np.float64(-3.52227828641756), np.float64(-3.526317230517634), np.float64(-3.5309465446150528), np.float64(-3.533564156022294), np.float64(-3.544046707348741), np.float64(-3.5528820260602174), np.float64(-3.5565201571319562), np.float64(-3.571879172151739), np.float64(-3.584064560281888), np.float64(-3.6036568759338934), np.float64(-3.6203176628808933), np.float64(-3.649568653432482), np.float64(-3.6581338913411514), np.float64(-3.6806273605395177)]"
Nonlinear,"[np.float64(-3.519442928991225), np.float64(-3.5210375389727915), np.float64(-3.5267073058850897), np.float64(-3.531869632865977), np.float64(-3.5323828413379275), np.float64(-3.5431954045590714), np.float64(-3.552836975524656), np.float64(-3.560939479840556), np.float64(-3.571161631144321), np.float64(-3.5849775585754173), np.float64(-3.590196788858748), np.float64(-3.613856862589273), np.float64(-3.644229352205116), np.float64(-3.657420334213441), np.float64(-3.680627786624939)]"
Nonlinear,"[np.float64(-3.5194430305319884), np.float64(-3.5231535632463533), np.float64(-3.525906996439403), np.float64(-3.530286510094271), np.float64(-3.5386468572435206), np.float64(-3.543391381657216), np.float64(-3.5492492191218616), np.float64(-3.5670329740831335), np.float64(-3.5742472978070055), np.float64(-3.585154828304553), np.float64(-3.602348331239398), np.float64(-3.6274807089106957), np.float64(-3.6357227830716283), np.float64(-3.658751590310203), np.float64(-3.6806288492110752)]"
Nonlinear,"[np.float64(-3.519443163395067), np.float64(-3.5245271486210044), np.float64(-3.5256993699904626), np.float64(-3.5295159389672435), np.float64(-3.5308126270271174), np.float64(-3.539074752311933), np.float64(-3.549354534825028), np.float64(-3.55707093549114), np.float64(-3.5699096008743254), np.float64(-3.583680858603884), np.float64(-3.6039349228948936), np.float64(-3.6193353696461372), np.float64(-3.6395387061494375), np.float64(-3.659506669434734), np.float64(-3.6806271257795515)]"
Nonlinear,"[np.float64(-3.5194433541838634), np.float64(-3.523236222125348), np.float64(-3.525007137977287), np.float64(-3.5285698702931754), np.float64(-3.5364270364527925), np.float64(-3.54313067530353), np.float64(-3.5530035857959774), np.float64(-3.5649104363948823), np.float64(-3.567101135877124), np.float64(-3.59274279848961), np.float64(-3.610914897819896), np.float64(-3.6125275176941614), np.float64(-3.6314924599541882), np.float64(-3.658639511757997), np.float64(-3.6806286063637117)]"
Nonlinear,"[np.float64(-3.5194435413097835), np.float64(-3.522201460612621), np.float64(-3.526058112173166), np.float64(-3.527130516958863), np.float64(-3.532422450736007), np.float64(-3.5457639431764676), np.float64(-3.5548450660395474), np.float64(-3.5612641275612305), np.float64(-3.5726238117977687), np.float64(-3.5866461959097933), np.float64(-3.6024060748673037), np.float64(-3.614478442697191), np.float64(-3.6340124227147044), np.float64(-3.661846805282778), np.float64(-3.680628631477873)]"
Nonlinear,"[np.float64(-3.5194428689512165), np.float64(-3.5221556752022707), np.float64(-3.524257650225593), np.float64(-3.530039849867606), np.float64(-3.535852667923308), np.float64(-3.545037365206099), np.float64(-3.554477697308016), np.float64(-3.5624666161627943), np.float64(-3.5683880170684006), np.float64(-3.592686217939388), np.float64(-3.605878096554818), np.float64(-3.6192360739134983), np.float64(-3.641885593877703), np.float64(-3.6673504925179827), np.float64(-3.680627237416047)]"
Nonlinear,"[np.float64(-3.519443085159935), np.float64(-3.5227028505251496), np.float64(-3.526572861862654), np.float64(-3.530295181502396), np.float64(-3.532505563153478), np.float64(-3.5422932977885466), np.float64(-3.5566317261043423), np.float64(-3.563704187516066), np.float64(-3.5763281709642456), np.float64(-3.594561637895083), np.float64(-3.6006228209466826), np.float64(-3.6163584223901353), np.float64(-3.6348144978639993), np.float64(-3.6548522450996757), np.float64(-3.680627443010735)]"
Nonlinear,"[np.float64(-3.5194432915153016), np.float64(-3.521229086671269), np.float64(-3.524822883152055), np.float64(-3.5308529424718085), np.float64(-3.5406518870315864), np.float64(-3.5429192768817757), np.float64(-3.551024648731527), np.float64(-3.5687951529596376), np.float64(-3.566161006814866), np.float64(-3.585198559237199), np.float64(-3.596049803977735), np.float64(-3.6093810793237253), np.float64(-3.6461845225862817), np.float64(-3.6638431931159516), np.float64(-3.6806291675833336)]"
Nonlinear,"[np.float64(-3.519443275951687), np.float64(-3.5228548792325114), np.float64(-3.523695169019703), np.float64(-3.5324430734000742), np.float64(-3.532275422170155), np.float64(-3.5411851282371742), np.float64(-3.5506972220250077), np.float64(-3.5548449891109044), np.float64(-3.573609520595312), np.float64(-3.588575340084901), np.float64(-3.6049099957509725), np.float64(-3.6202969985635036), np.float64(-3.639823281382064), np.float64(-3.664376670660772), np.float64(-3.6806285534719336)]"
