Type,Results
Linear,"[np.float64(-3.1337812854844387), np.float64(-3.1491381817597706), np.float64(-3.155296300141125), np.float64(-3.176731953462161), np.float64(-3.1960349230691127), np.float64(-3.2167283506711914), np.float64(-3.2387088615007116), np.float64(-3.244620631555737), np.float64(-3.2483977623362836), np.float64(-3.3068241365175606), np.float64(-3.3177620828974366), np.float64(-3.349839698193257), np.float64(-3.3714519355380794), np.float64(-3.3846371546615366), np.float64(-3.4123869017935835), np.float64(-3.420689273896306), np.float64(-3.4489610170679175), np.float64(-3.452198481102025), np.float64(-3.515762319938453), np.float64(-3.522218893790445), np.float64(-3.550991473748926), np.float64(-3.584004135855764), np.float64(-3.6361965815331807), np.float64(-3.6480655147246654)]"
Linear,"[np.float64(-3.142081921750809), np.float64(-3.1426114465853736), np.float64(-3.177222404107204), np.float64(-3.185015927598265), np.float64(-3.1947499316485866), np.float64(-3.206454918345118), np.float64(-3.2413832425933453), np.float64(-3.2613418533097462), np.float64(-3.2719135471017893), np.float64(-3.303985758717406), np.float64(-3.2970450492380188), np.float64(-3.3501173233702257), np.float64(-3.354460473141584), np.float64(-3.382058856629241), np.float64(-3.406847156605446), np.float64(-3.4279479196022926), np.float64(-3.4557473613755185), np.float64(-3.478798478877348), np.float64(-3.499326432499471), np.float64(-3.5280531868953346), np.float64(-3.5694193899789983), np.float64(-3.5882964657940395), np.float64(-3.6264215171579135), np.float64(-3.6499975402994274)]"
Linear,"[np.float64(-3.1306034690440745), np.float64(-3.157751909210992), np.float64(-3.165279986800373), np.float64(-3.188598076549641), np.float64(-3.193203970165815), np.float64(-3.2176328320005343), np.float64(-3.2367453480722617), np.float64(-3.2542782100218783), np.float64(-3.289055390362261), np.float64(-3.298663113825853), np.float64(-3.320818330911827), np.float64(-3.3436042275595934), np.float64(-3.3588950937740343), np.float64(-3.3940206451959565), np.float64(-3.4095441137896927), np.float64(-3.4041521071422522), np.float64(-3.4400002642449383), np.float64(-3.4865023333377234), np.float64(-3.4988817825755802), np.float64(-3.529878171828667), np.float64(-3.5446693918601913), np.float64(-3.5867083602625165), np.float64(-3.6175391547993296), np.float64(-3.6409926488572513)]"
Linear,"[np.float64(-3.145399787586758), np.float64(-3.150989408637102), np.float64(-3.162622697202238), np.float64(-3.1827190980606), np.float64(-3.2069028176199668), np.float64(-3.2088381567147657), np.float64(-3.2202085107589866), np.float64(-3.2652568813124763), np.float64(-3.2789300649457473), np.float64(-3.313483190820378), np.float64(-3.3138120666863404), np.float64(-3.3244526552997087), np.float64(-3.362422199804902), np.float64(-3.3798981148528), np.float64(-3.3852379382130025), np.float64(-3.416846396861855), np.float64(-3.4564648056274674), np.float64(-3.5113777147197993), np.float64(-3.4824710944085755), np.float64(-3.523022006789825), np.float64(-3.555595221663417), np.float64(-3.59463003117666), np.float64(-3.622528599154931), np.float64(-3.6525832789029167)]"
Linear,"[np.float64(-3.1312650118087344), np.float64(-3.1703590744695056), np.float64(-3.1591537468242743), np.float64(-3.178835334017964), np.float64(-3.1977367212010233), np.float64(-3.215004252911065), np.float64(-3.224891691343185), np.float64(-3.2665997034934335), np.float64(-3.288789483415302), np.float64(-3.2894437111399917), np.float64(-3.3202880943049617), np.float64(-3.3337634741816977), np.float64(-3.3712649190554185), np.float64(-3.3606945941382182), np.float64(-3.3993255118583168), np.float64(-3.4409046377961854), np.float64(-3.427902692632461), np.float64(-3.469628694344104), np.float64(-3.5059869757435163), np.float64(-3.5396430188107804), np.float64(-3.566301408182289), np.float64(-3.568996140901003), np.float64(-3.631330205093011), np.float64(-3.652054387527466)]"
Linear,"[np.float64(-3.140224411668454), np.float64(-3.138962677819844), np.float64(-3.1564969842567905), np.float64(-3.1785666795696867), np.float64(-3.202477839497522), np.float64(-3.2141290442530543), np.float64(-3.235683359210256), np.float64(-3.253206192086676), np.float64(-3.2738682032543114), np.float64(-3.3010178607692566), np.float64(-3.3040577426121214), np.float64(-3.3348893505024595), np.float64(-3.347459124494815), np.float64(-3.3871676353030367), np.float64(-3.3737367299064065), np.float64(-3.443754788144057), np.float64(-3.4608495540036976), np.float64(-3.470174280776895), np.float64(-3.520020328693814), np.float64(-3.51521233240746), np.float64(-3.5615066761035177), np.float64(-3.5673477046305155), np.float64(-3.608456234189692), np.float64(-3.654735452430659)]"
Linear,"[np.float64(-3.1758180888711247), np.float64(-3.154926842501647), np.float64(-3.1498091328412023), np.float64(-3.1767991186915454), np.float64(-3.2021254078181425), np.float64(-3.2184824061092563), np.float64(-3.2200033438746978), np.float64(-3.255137782689852), np.float64(-3.2702639181505404), np.float64(-3.300767542281198), np.float64(-3.3147492588503678), np.float64(-3.3242337216919697), np.float64(-3.3580760049214113), np.float64(-3.377182465979624), np.float64(-3.394111710918919), np.float64(-3.461759369954935), np.float64(-3.446382662240829), np.float64(-3.4589789536207203), np.float64(-3.5172821348430166), np.float64(-3.5165664033720354), np.float64(-3.5563608328369014), np.float64(-3.5951475365206935), np.float64(-3.6105217001137735), np.float64(-3.6564292946668857)]"
Linear,"[np.float64(-3.1558927268911283), np.float64(-3.148359850393719), np.float64(-3.140800488628405), np.float64(-3.1775951969218372), np.float64(-3.1985467209359726), np.float64(-3.216566396705547), np.float64(-3.23097508176072), np.float64(-3.2657047024165546), np.float64(-3.2673452876032663), np.float64(-3.2861693913187793), np.float64(-3.30896664607525), np.float64(-3.3619131464632535), np.float64(-3.352732080626131), np.float64(-3.3793014125845406), np.float64(-3.4155625994970524), np.float64(-3.453407600027873), np.float64(-3.469368281748501), np.float64(-3.4701445096364427), np.float64(-3.5114473603062297), np.float64(-3.5199602991528653), np.float64(-3.5499766584341206), np.float64(-3.5937214745494437), np.float64(-3.606830002705397), np.float64(-3.648480062164543)]"
Linear,"[np.float64(-3.146390747835982), np.float64(-3.1504106664460725), np.float64(-3.157897963380245), np.float64(-3.1826655313098096), np.float64(-3.198420156411638), np.float64(-3.214666487847925), np.float64(-3.2232309758838866), np.float64(-3.251650130383604), np.float64(-3.267021795933939), np.float64(-3.3178958555712423), np.float64(-3.3112352779926297), np.float64(-3.3377855064117803), np.float64(-3.3623867139336507), np.float64(-3.4017143795893325), np.float64(-3.4149759281296124), np.float64(-3.4370125065644075), np.float64(-3.4429565785862515), np.float64(-3.489876384511083), np.float64(-3.50767236959134), np.float64(-3.5475562055080267), np.float64(-3.556893623057009), np.float64(-3.5976920488552544), np.float64(-3.6173104597540497), np.float64(-3.6536025647547206)]"
Linear,"[np.float64(-3.136819613256458), np.float64(-3.136916828762441), np.float64(-3.159024462350019), np.float64(-3.170083320211674), np.float64(-3.172714007287775), np.float64(-3.222587555719337), np.float64(-3.238869408192812), np.float64(-3.2343147784697504), np.float64(-3.2889839761556647), np.float64(-3.2979673477198457), np.float64(-3.3135518558652937), np.float64(-3.3321093974049116), np.float64(-3.3662906686345817), np.float64(-3.3939068312624894), np.float64(-3.3936844884144293), np.float64(-3.432432402238634), np.float64(-3.453337713529221), np.float64(-3.470806004908109), np.float64(-3.5038003248815457), np.float64(-3.5213791451197363), np.float64(-3.546608617294588), np.float64(-3.5950801175683047), np.float64(-3.621080661724408), np.float64(-3.648109655079006)]"
